x-axis,1,2,3,4,MATH1
second,Volt,Volt,Volt,Volt,Volt
+127.862000E-06,+4.452261280268E+00,+4.814070321620E+00,+4.505025098799E+00,+1.251381941140E+00,+3.199218750000E+00
+127.863600E-06,+4.452261280268E+00,+4.814070321620E+00,+4.464824094204E+00,+1.251381941140E+00,+3.199218750000E+00
+127.865200E-06,+4.452261280268E+00,+4.814070321620E+00,+4.479899470927E+00,+1.251381941140E+00,+3.199218750000E+00
+127.866800E-06,+4.479899470927E+00,+4.814070321620E+00,+4.437185903545E+00,+1.223743750481E+00,+3.255615234375E+00
+127.868400E-06,+4.464824094204E+00,+4.814070321620E+00,+4.439698466333E+00,+1.211180936545E+00,+3.253051757812E+00
+127.870000E-06,+4.452261280268E+00,+4.814070321620E+00,+4.452261280268E+00,+1.238819127204E+00,+3.212036132812E+00
+127.871600E-06,+4.452261280268E+00,+4.786432130960E+00,+4.452261280268E+00,+1.251381941140E+00,+3.199218750000E+00
+127.873200E-06,+4.452261280268E+00,+4.773869317025E+00,+4.452261280268E+00,+1.251381941140E+00,+3.199218750000E+00
+127.874800E-06,+4.452261280268E+00,+4.801507507684E+00,+4.479899470928E+00,+1.251381941140E+00,+3.199218750000E+00
+127.876400E-06,+4.452261280268E+00,+4.786432130960E+00,+4.464824094204E+00,+1.251381941140E+00,+3.199218750000E+00
+127.878000E-06,+4.452261280268E+00,+4.773869317025E+00,+4.479899470928E+00,+1.251381941140E+00,+3.199218750000E+00
+127.879600E-06,+4.452261280268E+00,+4.773869317025E+00,+4.464824094203E+00,+1.223743750480E+00,+3.227416992188E+00
+127.881200E-06,+4.452261280268E+00,+4.801507507685E+00,+4.452261280268E+00,+1.238819127205E+00,+3.212036132812E+00
+127.882800E-06,+4.452261280268E+00,+4.814070321620E+00,+4.452261280268E+00,+1.251381941140E+00,+3.199218750000E+00
+127.884400E-06,+4.452261280268E+00,+4.814070321620E+00,+4.424623089609E+00,+1.251381941140E+00,+3.199218750000E+00
+127.886000E-06,+4.452261280268E+00,+4.786432130960E+00,+4.439698466334E+00,+1.251381941140E+00,+3.199218750000E+00
+127.887600E-06,+4.452261280268E+00,+4.801507507685E+00,+4.479899470928E+00,+1.251381941140E+00,+3.199218750000E+00
+127.889200E-06,+4.479899470929E+00,+4.814070321620E+00,+4.492462284863E+00,+1.251381941140E+00,+3.227416992189E+00
+127.890800E-06,+4.464824094203E+00,+4.814070321620E+00,+4.464824094203E+00,+1.251381941140E+00,+3.212036132811E+00
+127.892400E-06,+4.452261280268E+00,+4.786432130959E+00,+4.452261280268E+00,+1.251381941140E+00,+3.199218750000E+00
+127.894000E-06,+4.452261280268E+00,+4.801507507685E+00,+4.479899470929E+00,+1.251381941140E+00,+3.199218750000E+00
+127.895600E-06,+4.452261280268E+00,+4.814070321620E+00,+4.464824094203E+00,+1.251381941140E+00,+3.199218750000E+00
+127.897200E-06,+4.452261280268E+00,+4.814070321620E+00,+4.452261280268E+00,+1.251381941140E+00,+3.199218750000E+00
+127.898800E-06,+4.479899470929E+00,+4.786432130959E+00,+4.452261280268E+00,+1.223743750479E+00,+3.255615234379E+00
+127.900400E-06,+4.464824094202E+00,+4.801507507686E+00,+4.452261280268E+00,+1.238819127206E+00,+3.224853515621E+00
+127.902000E-06,+4.479899470929E+00,+4.814070321620E+00,+4.452261280268E+00,+1.251381941140E+00,+3.227416992190E+00
+127.903600E-06,+4.492462284863E+00,+4.814070321620E+00,+4.452261280268E+00,+1.251381941140E+00,+3.240234375000E+00
+127.905200E-06,+4.492462284863E+00,+4.814070321620E+00,+4.452261280268E+00,+1.223743750479E+00,+3.268432617190E+00
+127.906800E-06,+4.464824094202E+00,+4.786432130958E+00,+4.479899470930E+00,+1.238819127206E+00,+3.224853515620E+00
+127.908400E-06,+4.452261280268E+00,+4.801507507686E+00,+4.492462284863E+00,+1.223743750479E+00,+3.227416992190E+00
+127.910000E-06,+4.452261280268E+00,+4.786432130958E+00,+4.464824094202E+00,+1.238819127206E+00,+3.212036132810E+00
+127.911600E-06,+4.452261280268E+00,+4.773869317025E+00,+4.452261280268E+00,+1.223743750478E+00,+3.227416992190E+00
+127.913200E-06,+4.479899470930E+00,+4.773869317025E+00,+4.479899470930E+00,+1.211180936545E+00,+3.268432617190E+00
+127.914800E-06,+4.492462284863E+00,+4.801507507686E+00,+4.464824094201E+00,+1.238819127207E+00,+3.253051757810E+00
