x-axis,SCL1,3
second,Volt,Volt
+2.0060000E-03,,
+2.0062500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0065000E-03,+391.9598162E-03,+4.5628140429E+00
+2.0067500E-03,+391.9598162E-03,+4.5929647964E+00
+2.0070000E-03,+391.9598162E-03,+4.5829145452E+00
+2.0072500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0075000E-03,+391.9598162E-03,+4.5628140429E+00
+2.0077500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0080000E-03,+391.9598162E-03,+4.5628140429E+00
+2.0082500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0085000E-03,+391.9598162E-03,+4.5427135406E+00
+2.0087500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0090000E-03,+391.9598162E-03,+4.5628140429E+00
+2.0092500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0095000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0097500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0100000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0102500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0105000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0107500E-03,+391.9598162E-03,+4.5728642941E+00
+2.0110000E-03,+391.9598162E-03,+4.5728642941E+00
+2.0112500E-03,+351.7588116E-03,+190.9547932E-03
+2.0115000E-03,+391.9598162E-03,+221.1055467E-03
+2.0117500E-03,+391.9598162E-03,+190.9547932E-03
+2.0120000E-03,+391.9598162E-03,+190.9547932E-03
+2.0122500E-03,+391.9598162E-03,+190.9547932E-03
+2.0125000E-03,+391.9598162E-03,+190.9547932E-03
+2.0127500E-03,+391.9598162E-03,+190.9547932E-03
+2.0130000E-03,+391.9598162E-03,+190.9547932E-03
+2.0132500E-03,+391.9598162E-03,+190.9547932E-03
+2.0135000E-03,+391.9598162E-03,+190.9547932E-03
+2.0137500E-03,+371.8593139E-03,+190.9547932E-03
+2.0140000E-03,+391.9598162E-03,+190.9547932E-03
+2.0142500E-03,+391.9598162E-03,+231.1557978E-03
+2.0145000E-03,+391.9598162E-03,+190.9547932E-03
+2.0147500E-03,+391.9598162E-03,+190.9547932E-03
+2.0150000E-03,+391.9598162E-03,+190.9547932E-03
+2.0152500E-03,+391.9598162E-03,+190.9547932E-03
+2.0155000E-03,+391.9598162E-03,+190.9547932E-03
+2.0157500E-03,+391.9598162E-03,+190.9547932E-03
