x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+5.7160000E-06,+3.8115577695425E+00,+4.6557788660284E+00,-610.5527358596E-03,+3.8517587741371E+00
+5.7164000E-06,+3.7713567649479E+00,+4.5778894196263E+00,-613.0652986467E-03,+3.8115577695425E+00
+5.7168000E-06,+3.7688442021608E+00,+4.5351758522447E+00,-613.0652986467E-03,+3.7713567649479E+00
+5.7172000E-06,+3.7688442021608E+00,+4.4572864058426E+00,-537.6884150317E-03,+3.7688442021608E+00
+5.7176000E-06,+3.8065326439683E+00,+4.4522612802684E+00,-494.9748476501E-03,+3.7688442021608E+00
+5.7180000E-06,+3.8844220903704E+00,+4.4522612802684E+00,-417.0854012480E-03,+3.7688442021608E+00
+5.7184000E-06,+3.9648240995595E+00,+4.4522612802684E+00,-412.0602756739E-03,+3.7311557603534E+00
+5.7188000E-06,+4.0452261087486E+00,+4.4522612802684E+00,-374.3718338664E-03,+3.7286431975663E+00
+5.7192000E-06,+4.1256281179378E+00,+4.4899497220759E+00,-371.8592710793E-03,+3.7286431975663E+00
+5.7196000E-06,+4.2060301271269E+00,+4.5301507266705E+00,-371.8592710793E-03,+3.7663316393738E+00
+5.7200000E-06,+4.2864321363160E+00,+4.5703517312651E+00,-334.1708292718E-03,+3.7688442021608E+00
+5.7204000E-06,+4.3291457036977E+00,+4.6482411776671E+00,-331.6582664847E-03,+3.8065326439683E+00
+5.7208000E-06,+4.3316582664847E+00,+4.6909547450488E+00,-256.2813828697E-03,+3.8467336485629E+00
+5.7212000E-06,+4.3693467082923E+00,+4.7311557496433E+00,-251.2562572956E-03,+3.8869346531575E+00
+5.7216000E-06,+4.3718592710793E+00,+4.7336683124304E+00,-175.8793736806E-03,+3.8894472159445E+00
+5.7220000E-06,+4.3718592710793E+00,+4.7336683124304E+00,-95.4773644915E-03,+3.9271356577520E+00
+5.7224000E-06,+4.3718592710793E+00,+4.7336683124304E+00,-52.7637971098E-03,+3.9296482205391E+00
+5.7228000E-06,+4.3718592710793E+00,+4.6959798706229E+00,-12.5627925153E-03,+3.9296482205391E+00
+5.7232000E-06,+4.3341708292718E+00,+4.6934673078358E+00,+65.3266538868E-03,+3.9296482205391E+00
+5.7236000E-06,+4.2939698246772E+00,+4.6934673078358E+00,+108.0402212684E-03,+3.9673366623466E+00
+5.7240000E-06,+4.2537688200826E+00,+4.6934673078358E+00,+148.2412258630E-03,+3.9698492251337E+00
+5.7244000E-06,+4.2512562572956E+00,+4.7311557496434E+00,+188.4422304576E-03,+4.0075376669412E+00
+5.7248000E-06,+4.2135678154881E+00,+4.6959798706229E+00,+190.9547932446E-03,+3.9723617879207E+00
+5.7252000E-06,+4.1733668108935E+00,+4.6934673078358E+00,+190.9547932446E-03,+4.0075376669412E+00
+5.7256000E-06,+4.1708542481065E+00,+4.6557788660283E+00,+190.9547932446E-03,+3.9723617879207E+00
+5.7260000E-06,+4.1708542481065E+00,+4.6532663032413E+00,+190.9547932446E-03,+4.0075376669412E+00
+5.7264000E-06,+4.1708542481065E+00,+4.6909547450488E+00,+228.6432350522E-03,+3.9723617879207E+00
+5.7268000E-06,+4.2085426899140E+00,+4.6934673078358E+00,+231.1557978392E-03,+4.0075376669412E+00
+5.7272000E-06,+4.2110552527010E+00,+4.6934673078358E+00,+268.8442396467E-03,+4.0100502297282E+00
+5.7276000E-06,+4.2110552527010E+00,+4.7311557496434E+00,+309.0452442413E-03,+4.0100502297282E+00
+5.7280000E-06,+4.2487436945086E+00,+4.7336683124304E+00,+349.2462488359E-03,+4.0477386715358E+00
+5.7284000E-06,+4.2889446991032E+00,+4.7336683124304E+00,+351.7588116229E-03,+4.0879396761304E+00
+5.7288000E-06,+4.3291457036977E+00,+4.7336683124304E+00,+351.7588116229E-03,+4.0904522389174E+00
+5.7292000E-06,+4.3693467082923E+00,+4.7713567542380E+00,+314.0703698153E-03,+4.0904522389174E+00
+5.7296000E-06,+4.3718592710793E+00,+4.7738693170250E+00,+273.8693652207E-03,+4.0904522389174E+00
+5.7300000E-06,+4.4095477128869E+00,+4.8115577588325E+00,+271.3568024337E-03,+4.0904522389174E+00
+5.7304000E-06,+4.4120602756739E+00,+4.8140703216195E+00,+271.3568024337E-03,+4.0904522389174E+00
+5.7308000E-06,+4.4497487174815E+00,+4.8517587634271E+00,+233.6683606261E-03,+4.0904522389174E+00
+5.7312000E-06,+4.4145728384609E+00,+4.8542713262141E+00,+193.4673560316E-03,+4.0527637971098E+00
+5.7316000E-06,+4.4120602756739E+00,+4.8542713262141E+00,+190.9547932446E-03,+4.0502512343228E+00
+5.7320000E-06,+4.3743718338663E+00,+4.8542713262141E+00,+153.2663514370E-03,+4.0502512343228E+00
+5.7324000E-06,+4.3718592710793E+00,+4.8165828844065E+00,+113.0653468424E-03,+4.0502512343228E+00
+5.7328000E-06,+4.3718592710793E+00,+4.8140703216195E+00,+72.8643422479E-03,+4.0125627925152E+00
+5.7332000E-06,+4.3341708292717E+00,+4.7763818798119E+00,+32.6633376533E-03,+4.0100502297282E+00
+5.7336000E-06,+4.3316582664847E+00,+4.7361808752173E+00,-7.5376669413E-03,+4.0100502297282E+00
+5.7340000E-06,+4.2939698246771E+00,+4.7336683124304E+00,-47.7386715358E-03,+4.0100502297282E+00
+5.7344000E-06,+4.2914572618902E+00,+4.6959798706228E+00,-50.2512343228E-03,+4.0100502297282E+00
+5.7348000E-06,+4.2914572618902E+00,+4.6934673078358E+00,-87.9396761304E-03,+4.0100502297282E+00
+5.7352000E-06,+4.2914572618902E+00,+4.6934673078358E+00,-128.1406807250E-03,+3.9723617879206E+00
+5.7356000E-06,+4.2537688200826E+00,+4.6557788660282E+00,-168.3416853195E-03,+3.9698492251337E+00
+5.7360000E-06,+4.2512562572956E+00,+4.6532663032413E+00,-208.5426899141E-03,+4.0075376669413E+00
+5.7364000E-06,+4.2512562572956E+00,+4.6909547450489E+00,-211.0552527010E-03,+4.0100502297282E+00
+5.7368000E-06,+4.2512562572956E+00,+4.6934673078358E+00,-211.0552527010E-03,+4.0100502297282E+00
+5.7372000E-06,+4.2512562572956E+00,+4.7311557496435E+00,-173.3668108934E-03,+4.0100502297282E+00
+5.7376000E-06,+4.2135678154880E+00,+4.6959798706228E+00,-170.8542481065E-03,+3.9723617879206E+00
+5.7380000E-06,+4.2110552527010E+00,+4.6934673078358E+00,-133.1658062988E-03,+3.9698492251337E+00
+5.7384000E-06,+4.1733668108934E+00,+4.6557788660282E+00,-92.9648017043E-03,+3.9698492251337E+00
+5.7388000E-06,+4.1708542481065E+00,+4.6909547450489E+00,-52.7637971097E-03,+3.9698492251337E+00
+5.7392000E-06,+4.1708542481065E+00,+4.6934673078358E+00,-50.2512343228E-03,+3.9698492251337E+00
+5.7396000E-06,+4.1331658062988E+00,+4.6934673078358E+00,-12.5627925151E-03,+3.9698492251337E+00
+5.7400000E-06,+4.1683416853196E+00,+4.6934673078358E+00,+65.3266538871E-03,+3.9698492251337E+00
+5.7404000E-06,+4.1708542481065E+00,+4.6934673078358E+00,+108.0402212686E-03,+3.9698492251337E+00
+5.7408000E-06,+4.1708542481065E+00,+4.6934673078358E+00,+148.2412258631E-03,+3.9698492251337E+00
+5.7412000E-06,+4.2085426899141E+00,+4.6934673078358E+00,+150.7537886500E-03,+3.9698492251337E+00
+5.7416000E-06,+4.2487436945087E+00,+4.6934673078358E+00,+188.4422304577E-03,+3.9698492251337E+00
+5.7420000E-06,+4.2889446991033E+00,+4.6934673078358E+00,+190.9547932446E-03,+4.0075376669413E+00
+5.7424000E-06,+4.2914572618902E+00,+4.6934673078358E+00,+190.9547932446E-03,+4.0100502297282E+00
+5.7428000E-06,+4.3291457036979E+00,+4.7311557496435E+00,+228.6432350523E-03,+4.0477386715359E+00
+5.7432000E-06,+4.3316582664847E+00,+4.7713567542381E+00,+268.8442396468E-03,+4.0502512343228E+00
+5.7436000E-06,+4.3693467082924E+00,+4.8115577588326E+00,+271.3568024337E-03,+4.0502512343228E+00
+5.7440000E-06,+4.3718592710793E+00,+4.8140703216195E+00,+271.3568024337E-03,+4.0502512343228E+00
+5.7444000E-06,+4.3718592710793E+00,+4.8140703216195E+00,+271.3568024337E-03,+4.0502512343228E+00
+5.7448000E-06,+4.3718592710793E+00,+4.8140703216195E+00,+271.3568024337E-03,+4.0502512343228E+00
+5.7452000E-06,+4.4095477128870E+00,+4.8517587634272E+00,+271.3568024337E-03,+4.0502512343228E+00
+5.7456000E-06,+4.4120602756739E+00,+4.8542713262141E+00,+233.6683606260E-03,+4.0502512343228E+00
+5.7460000E-06,+4.4120602756739E+00,+4.8919597680218E+00,+193.4673560315E-03,+4.0125627925151E+00
+5.7464000E-06,+4.4120602756739E+00,+4.8944723308086E+00,+153.2663514369E-03,+4.0100502297282E+00
+5.7468000E-06,+4.3743718338662E+00,+4.8567838890009E+00,+150.7537886500E-03,+4.0100502297282E+00
+5.7472000E-06,+4.3718592710793E+00,+4.8542713262141E+00,+113.0653468423E-03,+4.0100502297282E+00
+5.7476000E-06,+4.3341708292716E+00,+4.8165828844064E+00,+72.8643422478E-03,+4.0100502297282E+00
+5.7480000E-06,+4.3316582664847E+00,+4.8140703216195E+00,+70.3517794609E-03,+4.0100502297282E+00
+5.7484000E-06,+4.3316582664847E+00,+4.7763818798118E+00,+32.6633376532E-03,+4.0100502297282E+00
+5.7488000E-06,+4.3316582664847E+00,+4.7738693170250E+00,-7.5376669414E-03,+4.0477386715359E+00
+5.7492000E-06,+4.3316582664847E+00,+4.7361808752172E+00,-10.0502297282E-03,+4.0502512343228E+00
+5.7496000E-06,+4.3316582664847E+00,+4.7336683124304E+00,-10.0502297282E-03,+4.0502512343228E+00
+5.7500000E-06,+4.3316582664847E+00,+4.7713567542381E+00,-10.0502297282E-03,+4.0879396761305E+00
